job_title,company,location,summary,state
Deep Learning Data Scientist,"Spectral MD, Inc.","Dallas, TX","They will work with a small team of clinical researchers, medical doctors, data scientists, and medical device engineers to analyze multidimensional image data…",TX
Data Scientist,HUNTER Technical Resources,"Addison, TX",Partner with Director of Marketing Analytics to identify practical opportunities to leverage large data sets and employ big data analytics techniques to improve…,TX
Data Scientist,Indeed Prime,"Dallas, TX","Get matched – Companies apply to you with opportunities that reflect your role, location and salary specifications.",TX
Statistician,"Spectral MD, Inc.","Dallas, TX","They will work with a small team of clinical researchers, medical doctors, data scientists, and medical device engineers to analyze multidimensional image data…",TX
"Sr. Associate, Data Scientist",KPMG,"Dallas, TX","Minimum of two years of experience leading work streams with at least two data scientists, engineers, and other data & analytics professionals, including…",TX
DATA SCIENTIST I,UT Southwestern Medical Center,"Dallas, TX","This position is security-sensitive and subject to Texas Education Code 51.215, which authorizes UT Southwestern to obtain criminal history record information.",TX
Data Scientist,Caliber Home Loans,"Coppell, TX","Familiarity and experience with applying various machine learning techniques (regression, decision trees, boosting, etc.). O Doing the Right Thing.",TX
Population Science Data Analyst I,UT Southwestern Medical Center,"Dallas, TX","This position is security-sensitive and subject to Texas Education Code 51.215, which authorizes UT Southwestern to obtain criminal history record information.",TX
Jr Data Scientist,HMS,"Irving, TX","The successful candidate will have 1-2 years of experience in working with big data, have an interest in data wrangling and analytical modeling, and a desire to…",TX
Data Science Analyst,Michaels,"Irving, TX","Bachelor’s degree in relevant quantitative discipline (statistics, economics, mathematics, computer science, electrical engineering, or a related scientific…",TX
Machine Learning Engineer/Data Scientist,cnet,"Irving, TX",JOB TITLE - Machine Learning Engineer/Data Scientist*. Develop machine learning applications according to requirements.,TX
Data Scientist,JDA Software,"Dallas, TX",Draft business requirements that a scientific solution needs to address and can validate the completeness and quality of the available data.,TX
Distinguished Data Scientist,Verizon,"Irving, TX",Be a subject matter expert on machine learning and predictive modeling and a mentor to junior data scientists. Six or more years of relevant work experience.,TX
Data Scientist,Employment Placement Agency,"Irving, TX","Familiar with at least one machine learning framework: Published research on computer vision, image processing or machine learning.",TX
Data Scientist,JP Morgan Chase,"Lewisville, TX","Experience across broad range of modern data science and analytics tools are preferred (e.g., SQL, Hive, Hadoop, Spark, Python, R and Jupyter Notebook).",TX
Senior Data Engineer - Sports,Event Dynamic,"Dallas, TX","A Bachelor or Master’s Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, Engineering etc…",TX
Data Scientist/Statistician (Statistical Modeling),S5 Stratos,"Dallas, TX",S5's R&D team is responsible for creating massively parallel systems while leveraging the deep understanding of distributed computing and machine learning.,TX
